"","h_name","year","home_games","away_games","games_played","games_won","win_perc"
"1","ANA",2000,81,81,162,82,50.6172839506173
"2","ANA",2001,81,81,162,75,46.2962962962963
"3","ANA",2002,81,81,162,99,61.1111111111111
"4","ANA",2003,82,80,162,77,47.5308641975309
"5","ANA",2004,81,81,162,92,56.7901234567901
"6","ANA",2005,81,81,162,95,58.641975308642
"7","ANA",2006,81,81,162,89,54.9382716049383
"8","ANA",2007,81,81,162,94,58.0246913580247
"9","ANA",2008,81,81,162,100,61.7283950617284
"10","ANA",2009,81,81,162,97,59.8765432098765
"11","ANA",2010,81,81,162,80,49.3827160493827
"12","ANA",2011,81,81,162,86,53.0864197530864
"13","ANA",2012,81,81,162,89,54.9382716049383
"14","ANA",2013,81,81,162,78,48.1481481481481
"15","ANA",2014,81,81,162,98,60.4938271604938
"16","ANA",2015,81,81,162,85,52.4691358024691
"17","ANA",2016,81,81,162,74,45.679012345679
"18","ARI",2000,81,81,162,85,52.4691358024691
"19","ARI",2001,81,81,162,92,56.7901234567901
"20","ARI",2002,81,81,162,98,60.4938271604938
"21","ARI",2003,81,81,162,84,51.8518518518518
"22","ARI",2004,81,81,162,51,31.4814814814815
"23","ARI",2005,81,81,162,77,47.5308641975309
"24","ARI",2006,81,81,162,76,46.9135802469136
"25","ARI",2007,81,81,162,90,55.5555555555556
"26","ARI",2008,81,81,162,82,50.6172839506173
"27","ARI",2009,81,81,162,70,43.2098765432099
"28","ARI",2010,81,81,162,65,40.1234567901235
"29","ARI",2011,81,81,162,94,58.0246913580247
"30","ARI",2012,81,81,162,81,50
"31","ARI",2013,81,81,162,81,50
"32","ARI",2014,81,81,162,64,39.5061728395062
"33","ARI",2015,81,81,162,79,48.7654320987654
"34","ARI",2016,81,81,162,69,42.5925925925926
"35","ATL",2000,81,81,162,95,58.641975308642
"36","ATL",2001,81,81,162,88,54.320987654321
"37","ATL",2002,81,80,161,101,62.7329192546584
"38","ATL",2003,81,81,162,101,62.3456790123457
"39","ATL",2004,81,81,162,96,59.2592592592593
"40","ATL",2005,81,81,162,90,55.5555555555556
"41","ATL",2006,81,81,162,79,48.7654320987654
"42","ATL",2007,81,81,162,84,51.8518518518518
"43","ATL",2008,81,81,162,72,44.4444444444444
"44","ATL",2009,81,81,162,86,53.0864197530864
"45","ATL",2010,81,81,162,91,56.1728395061728
"46","ATL",2011,81,81,162,89,54.9382716049383
"47","ATL",2012,81,81,162,94,58.0246913580247
"48","ATL",2013,81,81,162,96,59.2592592592593
"49","ATL",2014,81,81,162,79,48.7654320987654
"50","ATL",2015,81,81,162,67,41.358024691358
"51","ATL",2016,81,80,161,68,42.2360248447205
"52","BAL",2000,81,81,162,74,45.679012345679
"53","BAL",2001,80,82,162,64,39.5061728395062
"54","BAL",2002,81,81,162,67,41.358024691358
"55","BAL",2003,81,82,163,71,43.558282208589
"56","BAL",2004,81,81,162,78,48.1481481481481
"57","BAL",2005,81,81,162,74,45.679012345679
"58","BAL",2006,81,81,162,70,43.2098765432099
"59","BAL",2007,81,81,162,69,42.5925925925926
"60","BAL",2008,80,81,161,68,42.2360248447205
"61","BAL",2009,81,81,162,64,39.5061728395062
"62","BAL",2010,81,81,162,66,40.7407407407407
"63","BAL",2011,81,81,162,69,42.5925925925926
"64","BAL",2012,81,81,162,93,57.4074074074074
"65","BAL",2013,81,81,162,85,52.4691358024691
"66","BAL",2014,81,81,162,96,59.2592592592593
"67","BAL",2015,81,81,162,81,50
"68","BAL",2016,81,81,162,89,54.9382716049383
"69","BOS",2000,81,81,162,85,52.4691358024691
"70","BOS",2001,81,80,161,82,50.9316770186335
"71","BOS",2002,81,81,162,93,57.4074074074074
"72","BOS",2003,81,81,162,95,58.641975308642
"73","BOS",2004,81,81,162,98,60.4938271604938
"74","BOS",2005,81,81,162,95,58.641975308642
"75","BOS",2006,81,81,162,86,53.0864197530864
"76","BOS",2007,81,81,162,96,59.2592592592593
"77","BOS",2008,81,81,162,95,58.641975308642
"78","BOS",2009,81,81,162,95,58.641975308642
"79","BOS",2010,81,81,162,89,54.9382716049383
"80","BOS",2011,81,81,162,90,55.5555555555556
"81","BOS",2012,81,81,162,69,42.5925925925926
"82","BOS",2013,81,81,162,97,59.8765432098765
"83","BOS",2014,81,81,162,71,43.8271604938272
"84","BOS",2015,81,81,162,78,48.1481481481481
"85","BOS",2016,81,81,162,93,57.4074074074074
"86","CHA",2000,81,81,162,95,58.641975308642
"87","CHA",2001,81,81,162,83,51.2345679012346
"88","CHA",2002,81,81,162,81,50
"89","CHA",2003,81,81,162,86,53.0864197530864
"90","CHA",2004,81,81,162,83,51.2345679012346
"91","CHA",2005,81,81,162,99,61.1111111111111
"92","CHA",2006,81,81,162,90,55.5555555555556
"93","CHA",2007,81,81,162,72,44.4444444444444
"94","CHA",2008,82,81,163,89,54.601226993865
"95","CHA",2009,81,81,162,79,48.7654320987654
"96","CHA",2010,81,81,162,88,54.320987654321
"97","CHA",2011,81,81,162,79,48.7654320987654
"98","CHA",2012,81,81,162,85,52.4691358024691
"99","CHA",2013,81,81,162,63,38.8888888888889
"100","CHA",2014,81,81,162,73,45.0617283950617
"101","CHA",2015,81,81,162,76,46.9135802469136
"102","CHA",2016,81,81,162,78,48.1481481481481
"103","CHN",2000,81,81,162,65,40.1234567901235
"104","CHN",2001,81,81,162,88,54.320987654321
"105","CHN",2002,81,81,162,67,41.358024691358
"106","CHN",2003,81,81,162,88,54.320987654321
"107","CHN",2004,82,80,162,89,54.9382716049383
"108","CHN",2005,81,81,162,79,48.7654320987654
"109","CHN",2006,81,81,162,66,40.7407407407407
"110","CHN",2007,81,81,162,85,52.4691358024691
"111","CHN",2008,81,80,161,97,60.248447204969
"112","CHN",2009,80,81,161,83,51.5527950310559
"113","CHN",2010,81,81,162,75,46.2962962962963
"114","CHN",2011,81,81,162,71,43.8271604938272
"115","CHN",2012,81,81,162,61,37.6543209876543
"116","CHN",2013,81,81,162,66,40.7407407407407
"117","CHN",2014,81,81,162,73,45.0617283950617
"118","CHN",2015,81,81,162,97,59.8765432098765
"119","CHN",2016,81,81,162,104,64.1975308641975
"120","CIN",2000,82,81,163,85,52.1472392638037
"121","CIN",2001,81,81,162,66,40.7407407407407
"122","CIN",2002,81,81,162,78,48.1481481481481
"123","CIN",2003,81,81,162,69,42.5925925925926
"124","CIN",2004,81,81,162,76,46.9135802469136
"125","CIN",2005,82,81,163,73,44.7852760736196
"126","CIN",2006,81,81,162,80,49.3827160493827
"127","CIN",2007,81,81,162,72,44.4444444444444
"128","CIN",2008,81,81,162,74,45.679012345679
"129","CIN",2009,81,81,162,78,48.1481481481481
"130","CIN",2010,81,81,162,91,56.1728395061728
"131","CIN",2011,81,81,162,79,48.7654320987654
